large_class_ip_name,product_date,product_count,product_mean,product_median,three_month_count,three_month_mean,three_month_median,six_month_count,six_month_mean,six_month_median,IP,event_content
おとなの防具屋さん,2021-04-28,6,23.33333333,23,62,82.83870968,43,92,31.2173913,6.5,おとなの防具屋さん,恋愛/ラブコメ
おとなの防具屋さん,2021-04-28,6,23.33333333,23,62,82.83870968,43,92,31.2173913,6.5,おとなの防具屋さん,SF/ファンタジー
ヴァニタスの手記,2021-07-17,110,1247.418182,1041,130,3021.307692,1601,,,,ヴァニタスの手記,SF/ファンタジー
ヴァニタスの手記,2021-07-17,110,1247.418182,1041,130,3021.307692,1601,,,,ヴァニタスの手記,SF/ファンタジー
Aチャンネル,2011-04-14,7,21.42857143,18,7,16.57142857,12,,,,Aチャンネル,ドラマ/青春
うしおととら,2015-05-27,9,604,741,72,505.375,325.5,,,,うしおととら,SF/ファンタジー
うしおととら,2015-05-27,9,604,741,72,505.375,325.5,,,,うしおととら,アクション/バトル
うしおととら,2015-05-27,9,604,741,72,505.375,325.5,,,,うしおととら,アクション/バトル
ジョーカー・ゲーム,2016-02-10,18,225.6111111,126.5,49,696.1632653,279,14,341.2142857,60.5,ジョーカー・ゲーム,アクション/バトル
ナンバカ,2016-09-28,16,560.0625,355.5,36,372.6944444,245,,,,ナンバカ,コメディ/ギャグ
ナンバカ,2016-09-28,16,560.0625,355.5,36,372.6944444,245,,,,ナンバカ,コメディ/ギャグ
徒然チルドレン,2017-06-14,13,440.8461538,230,8,1124.375,564.5,,,,徒然チルドレン,ドラマ/青春
徒然チルドレン,2017-06-14,13,440.8461538,230,8,1124.375,564.5,,,,徒然チルドレン,恋愛/ラブコメ
一週間フレンズ。,2014-04-07,21,190.4761905,150,70,107.7285714,79,,,,一週間フレンズ。,ドラマ/青春
一週間フレンズ。,2014-04-07,21,190.4761905,150,70,107.7285714,79,,,,一週間フレンズ。,ドラマ/青春
一週間フレンズ。,2014-04-07,21,190.4761905,150,70,107.7285714,79,,,,一週間フレンズ。,恋愛/ラブコメ
海月姫,2014-07-03,1,557,557,43,187.7906977,117,,,,海月姫,恋愛/ラブコメ
海月姫,2014-07-03,1,557,557,43,187.7906977,117,,,,海月姫,コメディ/ギャグ
わたしの幸せな結婚,2021-05-21,18,557.3333333,576,6,1085.333333,705,,,,わたしの幸せな結婚,恋愛/ラブコメ
わたしの幸せな結婚,2021-05-21,18,557.3333333,576,6,1085.333333,705,,,,わたしの幸せな結婚,SF/ファンタジー
恋する小惑星,2019-11-28,18,577.1111111,534,17,1630.235294,1228,3,1267,761,恋する小惑星,ドラマ/青春
安達としまむら,2020-05-01,1,5125,5125,1,1238,1238,5,2909.4,3304,安達としまむら,ドラマ/青春
安達としまむら,2020-05-01,1,5125,5125,1,1238,1238,5,2909.4,3304,安達としまむら,恋愛/ラブコメ
テレビ野郎 ナナーナ,2019-07-01,9,199.6666667,40,68,86.10294118,55,,,,テレビ野郎 ナナーナ,コメディ/ギャグ
魔王イブロギアに身を捧げよ,2020-11-22,6,22.5,21.5,163,29.39263804,8,,,,魔王イブロギアに身を捧げよ,恋愛/ラブコメ
錆喰いビスコ,2022-01-10,17,369.0588235,279,26,830.6153846,518,8,518,492.5,錆喰いビスコ,SF/ファンタジー
つり球,2012-04-01,22,167.3636364,96.5,41,45.6097561,22,,,,つり球,ドラマ/青春
つり球,2012-04-01,22,167.3636364,96.5,41,45.6097561,22,,,,つり球,SF/ファンタジー
