large_class_ip_name,product_date,product_count,product_mean,product_median,three_month_count,three_month_mean,three_month_median,six_month_count,six_month_mean,six_month_median,ip_type
リコリス・リコイル,2022-07-02,55,6962.0909090909072,4197.0,86,816.686046511628,361.5,3,5830.0,2986.0,アニメ
僕の彼女がマジメ過ぎるしょびっちな件,2017-09-07,86,117.02325581395348,101.0,21,211.14285714285717,109.0,,,,漫画
あひるの空,2019-08-21,5,693.0,488.0,21,3225.333333333333,1120.0,,,,漫画
Aチャンネル,2011-04-14,7,21.428571428571431,18.0,7,16.571428571428569,12.0,,,,漫画
ダンス・ダンス・ダンスール,2022-04-16,8,271.25,189.0,22,1394.909090909091,446.0,3,191.0,184.0,漫画
スカーレッドライダーゼクス,2016-05-01,25,314.28,145.0,45,1136.2444444444443,789.0,,,,ゲーム
セイレン,2016-11-25,13,300.53846153846155,180.0,4,990.50000000000011,732.5,,,,アニメ
カッコウの許嫁,2020-02-07,4,953.75,946.0,5,1036.8,528.0,,,,漫画
ましろのおと,2016-12-27,1,41.0,41.0,5,66.8,67.0,7,97.714285714285722,65.0,漫画
エロマンガ先生,2017-01-31,16,1411.25,1099.0,17,1012.6470588235293,704.0,,,,ライトノベル
回復術士のやり直し,2021-01-13,12,272.83333333333331,289.5,22,238.36363636363635,163.5,3,558.33333333333337,747.0,ライトノベル
魔法少女サイト,2018-03-16,41,318.31707317073176,246.0,75,459.12,186.0,,,,漫画
てっぺんっ!!!,2022-04-25,7,354.71428571428567,204.0,64,774.20312500000011,451.0,,,,漫画
へんたつ,2019-08-09,3,7670.333333333333,6189.0,12,42342.333333333336,22529.0,25,8679.36,6724.0,アニメ
ハナビちゃんは遅れがち,2022-07-11,1,86.0,86.0,34,402.73529411764707,217.0,29,83.137931034482762,46.0,漫画
陰の実力者になりたくて!,2022-03-26,1,518.0,518.0,6,2152.166666666667,1700.5,,,,ライトノベル
うちの師匠はしっぽがない,2022-11-09,12,219.91666666666666,178.0,28,292.8214285714285,269.5,21,1404.6666666666665,267.0,漫画
半妖の夜叉姫,2020-10-24,6,2568.666666666667,2567.0,148,4858.2567567567576,2987.0,,,,アニメ
スーパーカブ,2021-04-28,1,972.0,972.0,22,1089.9545454545453,370.5,,,,ライトノベル
アニメガタリ,2017-08-04,23,82.217391304347828,70.0,230,48.347826086956545,22.0,,,,アニメ
NEW GAME!,2016-04-15,15,363.2,318.0,20,1133.9999999999998,712.5,,,,漫画
